id,app,category,rating,review,date,helpful_votes,verified_purchase,device_type,app_version
4,Dovetail,research repository,5,My whole team can comment on the same session without chaos. Recording quality is excellent even on slow connections.,2023-12-19,38,True,,2.0.0
6,Lookback,user research,5,The guest access feature is perfect for external stakeholders. The session recording is crisp and easy to scrub through.,2024-11-08,14,False,,5.3.1
8,Maze,usability testing,5,I was running my first study within 20 minutes of signing up.,2023-06-25,34,False,,4.1.0
10,Miro,collaborative whiteboard,3,"Works fine — nothing remarkable, nothing broken.",2024-08-03,45,True,,9.4.0
19,Lookback,user research,5,Automatic session indexing makes it easy to find key moments.,2024-06-29,8,True,,5.3.1
24,Fieldkit,field research,5,Session recordings sync instantly — no waiting around. Smart folders auto-populate based on tags — surprisingly powerful.,2023-08-08,34,True,,
29,Lookback,user research,5,Being able to rewatch sessions at 1.5x speed has saved me hours. Battery drain is reasonable even during long observation sessions.,2023-08-07,25,False,,5.2.0
38,Dovetail,research repository,4,GPS tagging for field observations is exactly what I needed.,2024-10-31,33,True,,1.8.4
53,Lookback,user research,3,"Does what it says, though the interface feels dated.",2024-03-22,0,True,,5.2.0
72,Miro,collaborative whiteboard,5,Smart folders auto-populate based on tags — surprisingly powerful.,2024-09-29,34,True,,9.3.0
83,Maze,usability testing,5,Battery drain is reasonable even during long observation sessions.,2024-08-29,17,True,,4.2.3
87,Lookback,user research,5,Screener templates saved me from writing survey questions from scratch.,2024-05-17,28,False,,5.2.0
100,Maze,usability testing,5,The help docs are actually written by people who do research.,2023-07-22,27,True,,4.2.3
102,Maze,usability testing,4,PDF reports look professional enough to share with executives.,2023-10-06,32,True,,4.1.0
119,Miro,collaborative whiteboard,5,Searching by tag across projects actually works reliably.,2023-12-06,6,False,,9.2.1
127,Miro,collaborative whiteboard,5,PDF reports look professional enough to share with executives.,2024-04-21,18,True,,9.3.0
142,Lookback,user research,4,My whole team can comment on the same session without chaos.,2023-08-11,28,True,,5.3.1
147,Lookback,user research,1,The analysis view gets sluggish with more than 200 tagged clips.,2023-06-28,7,True,,
149,Dovetail,research repository,5,Works offline and syncs when I get back to WiFi — essential for fieldwork.,2024-05-02,28,False,,
151,Fieldkit,field research,2,"The difference between clips, highlights, and moments isn't obvious at first.",2023-04-21,31,True,,2.4.1
162,Maze,usability testing,5,My whole team can comment on the same session without chaos. Searching by tag across projects actually works reliably.,2024-11-04,25,True,,4.1.0
183,Maze,usability testing,4,The timeline view across a research program is genuinely useful.,2023-02-23,40,True,,4.2.3
185,Dovetail,research repository,5,Real-time co-editing on affinity diagrams is surprisingly smooth. Project folders keep multi-phase studies manageable.,2023-11-14,35,True,,2.0.0
191,Miro,collaborative whiteboard,3,"Works fine — nothing remarkable, nothing broken.",2023-11-13,30,False,,9.2.1
199,Dovetail,research repository,5,The voice memo feature captures context I'd otherwise lose.,2023-04-24,18,True,,
210,Miro,collaborative whiteboard,4,Tag hierarchies let me keep themes organized across a whole study.,2024-01-12,33,True,,9.4.0
221,Maze,usability testing,5,The onboarding checklist is paced well — not overwhelming.,2024-06-04,14,True,,4.2.3
224,Fieldkit,field research,2,No built-in way to generate a structured debrief template from tags.,2024-11-27,33,True,,3.0.0
228,Lookback,user research,4,The mobile app doesn't crash when I switch between apps mid-session.,2024-08-17,9,True,,5.3.1
